country,year,sector,VA,H,VA_Q
PT,1997.0,man,26315.0,2955310.0,38774.1949036482
PT,1998.0,man,28213.2,3087848.0,40225.23112155618
PT,1999.0,man,29743.2,3144049.0,40892.46137470422
PT,2000.0,man,31412.199999999997,3254832.0,42625.2042926381
PT,2001.0,man,32781.4,3200690.0,43445.36560411927
PT,2002.0,man,33495.899999999994,3157342.0,42517.57593902999
PT,2003.0,man,33054.6,3001648.0,41617.725455086314
PT,2004.0,man,33855.5,2891388.0,41885.5578422901
PT,2005.0,man,33903.9,2787444.0,40810.69904558129
PT,2006.0,man,35160.1,2726300.0,40970.30873920654
PT,2007.0,man,37120.5,2705986.0,41772.31400384322
PT,2008.0,man,36512.1,2611432.0,40628.99762085744
PT,2009.0,man,34832.6,2395415.0,37256.64279996361
PT,2010.0,man,35832.5,2325529.0,37880.64633860204
PT,2011.0,man,34065.899999999994,2211208.0,37245.0711337222
PT,2012.0,man,32167.0,1991907.0,35081.20343247081
PT,2013.0,man,32168.300000000003,1910667.0,34267.885148720394
PT,2014.0,man,32770.8,1907722.0,34275.26096516208
PT,2015.0,man,34980.0,1951001.0,34980.0
PT,2016.0,man,36044.5,1975473.0,35411.899999999994
PT,2017.0,man,37459.8,2040554.0,36886.6615787456
PT,2018.0,man,39598.9,2115270.0,38498.27691803234
PT,2019.0,man,40372.7,2134467.0,38997.71142540939
PT,1970.0,nps,792.9054491739646,2166232.5475423224,20082.069117973504
PT,1971.0,nps,875.9047097867451,2197632.606941709,21548.7011292299
PT,1972.0,nps,1017.7101573290153,2228312.6791560636,23818.43417615423
PT,1973.0,nps,1202.053523012883,2266987.1996264495,26065.555889778847
PT,1974.0,nps,1401.1748793235288,2144959.8070365656,27898.60013337604
PT,1975.0,nps,1647.2945347430848,2230962.2604176016,29279.283407380706
PT,1976.0,nps,2016.108440702561,2283960.1752139567,33514.26989629853
PT,1977.0,nps,2598.9196343416406,2383738.4878577464,35376.71634731648
PT,1978.0,nps,3158.758690458678,2392675.3295350703,36540.492784647664
PT,1979.0,nps,3475.345471576143,2455866.9205283425,38336.05234245714
PT,1980.0,nps,3857.9066261228004,2507483.2748396294,40376.52771885037
PT,1981.0,nps,4296.458686695415,2563466.209078902,41668.79793298671
PT,1982.0,nps,4817.128294606105,2573234.046039533,42663.85693793902
PT,1983.0,nps,5469.965152318238,2574931.87385368,43995.69266551916
PT,1984.0,nps,6238.510823303792,2569115.616461691,44663.68414298075
PT,1985.0,nps,7191.790153864813,2572942.9759741975,46030.859453221645
PT,1986.0,nps,8464.93115451551,2669411.996809992,47238.79623466243
PT,1987.0,nps,9772.329294960256,2690259.557787722,48862.21590000259
PT,1988.0,nps,11395.534999067137,2349271.399522118,49936.87913086103
PT,1989.0,nps,13775.398334303494,2438895.520526672,52000.311140360594
PT,1990.0,nps,16256.999047317178,2537108.208268239,54558.417386743095
PT,1991.0,nps,19930.463713036967,2476833.361711913,56956.81654173967
PT,1992.0,nps,22961.54441956876,2511472.1260821796,58512.312783040776
PT,1993.0,nps,24739.99238049747,2527037.719157733,57783.01767246569
PT,1994.0,nps,26357.19711366826,2493772.085179044,57852.330189385735
PT,1995.0,nps,28506.2,2554359.0,58819.97458546845
PT,1996.0,nps,30239.5,2627044.0,58994.53832728383
PT,1997.0,nps,32821.2,2717166.0,60487.55240761942
PT,1998.0,nps,36051.0,2846104.0,62300.48895231199
PT,1999.0,nps,39331.8,2922436.0,63590.80946006429
PT,2000.0,nps,43551.6,2991926.0,66392.88055531615
PT,2001.0,nps,46137.5,3048315.0,67494.94689728771
PT,2002.0,nps,49685.0,3121649.0,67965.8959620708
PT,2003.0,nps,52196.200000000004,3136159.0,67418.98186582304
PT,2004.0,nps,54829.8,3186070.0,67667.67227375397
PT,2005.0,nps,58194.9,3236999.0,68824.42444696029
PT,2006.0,nps,60085.0,3265472.0,69075.56634703887
PT,2007.0,nps,63650.1,3314323.0,70548.7825825587
PT,2008.0,nps,65821.5,3353671.0,71140.81867104964
PT,2009.0,nps,68228.6,3353025.0,70713.59734531667
PT,2010.0,nps,70410.6,3379608.0,72260.52731461766
PT,2011.0,nps,67973.3,3313368.0,71012.15984441267
PT,2012.0,nps,65525.4,3211535.0,69989.63220735198
PT,2013.0,nps,68157.90000000001,3174253.0,69277.42867614386
PT,2014.0,nps,68252.8,3243265.0,68972.01677541465
PT,2015.0,nps,70146.9,3293965.0,70146.9
PT,2016.0,nps,72922.3,3384292.0,70897.1
PT,2017.0,nps,77326.4,3478089.0,73205.70212308632
PT,2018.0,nps,80911.1,3586039.0,74431.96335762873
PT,2019.0,nps,84771.90000000001,3665642.0,76115.05996396202
PT,1970.0,prs,464.90943426424275,1719825.3311665924,12911.652280278524
PT,1971.0,prs,528.7352829696271,1759858.173837172,14174.874725920768
PT,1972.0,prs,600.4962818811113,1802229.323964214,15083.363272014194
PT,1973.0,prs,727.3109877093996,1844022.0555593525,16920.326967952824
PT,1974.0,prs,833.9376338741481,1790991.6433561516,15619.92280877536
PT,1975.0,prs,933.5051550270192,1863315.8346229529,14924.71483713848
PT,1976.0,prs,1143.932183821887,1861715.2847791668,16064.36578468625
PT,1977.0,prs,1474.269581102801,1947666.5320266588,16952.82464297564
PT,1978.0,prs,1881.7448936496373,1944668.4392696184,17473.136104777856
PT,1979.0,prs,2240.708339166302,1990306.5109047487,17411.960598368703
PT,1980.0,prs,2793.6842316956504,2026045.3752081848,18567.609778742477
PT,1981.0,prs,3396.1549834158236,2052325.8431293713,18962.78198178579
PT,1982.0,prs,4235.577045458948,2009519.622350636,19493.254066918365
PT,1983.0,prs,5202.889083851242,1985799.7069642835,19180.606840474822
PT,1984.0,prs,6022.776843796446,1939469.4716655484,18194.28113997905
PT,1985.0,prs,7487.452580067219,1919174.8470072187,18521.944874894376
PT,1986.0,prs,8620.666734951199,1906181.2310442054,19342.106395799914
PT,1987.0,prs,10047.686074709794,1980642.084402232,20894.695369901165
PT,1988.0,prs,11778.644943240832,1611533.397674092,22072.4022849357
PT,1989.0,prs,13911.447575403781,1712498.2677460879,24175.039358375165
PT,1990.0,prs,16652.47524241564,1902722.0861466806,25852.990186339222
PT,1991.0,prs,18590.84811516231,1981914.5658319085,27884.848956773152
PT,1992.0,prs,19458.5774677635,2089960.8105602502,29351.315057977656
PT,1993.0,prs,21135.254012768943,2053658.2849831618,30143.975813694735
PT,1994.0,prs,22064.806897911716,2051636.93708878,28886.559144215324
PT,1995.0,prs,23580.6,2080224.0,30372.1026352962
PT,1996.0,prs,24303.2,2087387.0,30904.39179808235
PT,1997.0,prs,26989.9,2118912.0,32930.042624095906
PT,1998.0,prs,29146.800000000003,2225770.0,34863.47463041227
PT,1999.0,prs,31216.5,2285707.0,36859.26942498392
PT,2000.0,prs,33564.5,2330066.0,38201.90783687141
PT,2001.0,prs,36159.600000000006,2413147.0,39484.310365393
PT,2002.0,prs,37659.0,2436574.0,40356.92067918263
PT,2003.0,prs,38610.6,2454180.0,40477.81460839872
PT,2004.0,prs,40498.0,2528560.0,41962.17650920042
