Variable,desc,code,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010
GO,Chemicals and chemical products,24,10936.406,12932.606,13075.018,15568.696,18247.09,17958.316,18903.984,17679.184,19811.148,20350.344,20792.217,22957.834,26381.939,27059.766,28101.426,30643.051,33690.227,36159.332,39665.367,43356.645,44692.059,48022.848,50274.273,50988.438,53329.695,59357.137,67570.641,87477.039,93875.109,109008.445,123868.531,138745.094,163065.125,164800.875,200488.641,190238.656,210833.031,209387.297,209380.469,211561.859,230974.75,260883.563,279675.281,287492.063,291836.344,306087.063,315936.0,335809.563,361507.375,367477.531,400322.594,403951.0,410960.375,432952.719,423652.313,447146.75,465690.438,514691.75,572535.375,615141.938,676467.938,681968.188,583765.438,630755.938
GO,Rubber and plastics,25,2660.063,2519.629,2390.783,3218.992,3921.129,3792.838,4040.343,3649.301,4531.191,4438.863,4481.084,6945.82,8038.17,7938.483,7843.521,8494.93,9039.172,9612.08,10764.79,11970.156,12752.061,14307.602,15717.9,15789.729,17656.648,20881.557,24487.379,28482.215,28147.512,32857.922,40549.551,44427.516,48506.051,49721.059,55600.262,57390.398,62210.102,70805.148,73320.891,77576.672,86777.055,94018.164,98557.164,101154.172,100029.445,111938.344,120692.633,131955.609,142454.938,146953.359,156095.984,161333.203,169839.578,175397.813,167722.25,170439.688,173679.188,180265.203,195736.469,207035.547,204296.781,196541.688,164643.172,176929.547
GO,OTHER NON-METALLIC MINERAL,26,3694.716,3862.443,4025.103,5007.799,5647.352,5481.498,5898.956,5881.699,6835.354,7223.826,7080.909,8540.084,10054.604,10090.621,10185.615,10836.905,11688.068,12306.463,13244.977,13860.174,13699.225,14965.966,15961.458,15920.966,17619.963,20231.861,22418.072,24684.83,25388.654,28660.52,33083.195,38926.594,42830.258,43011.297,44745.469,42178.293,45354.004,49618.891,51133.734,53254.699,59385.996,60883.926,61376.371,61290.488,57567.781,60242.594,63300.332,68724.977,73235.172,79507.211,83583.68,89943.438,93519.273,94828.781,92362.375,93171.734,95038.297,101090.586,112051.672,123757.484,125188.336,112071.188,86904.938,89875.203
GO,BASIC METALS AND FABRICATED METAL,27t28,25555.793,23939.031,24391.535,31619.629,38846.273,38663.98,46514.359,42146.477,49856.094,53499.141,51322.32,45632.508,52726.449,52316.75,51022.969,54789.02,57897.773,64390.047,72266.656,80437.18,82071.164,89048.531,96130.844,92617.609,93007.063,104474.047,125272.508,157270.438,145965.547,165013.016,185632.016,211931.938,244754.047,246829.813,262997.906,220691.219,224078.969,246267.313,241363.469,235265.875,257461.313,297036.563,305357.125,302466.281,284850.031,298441.406,309228.969,342294.563,378031.844,386378.75,403219.125,413130.688,406787.063,417227.0,382639.563,379445.719,376289.844,437230.906,485049.969,542014.375,589917.938,625469.063,433909.063,493637.875
GO,"MACHINERY, NEC",29,9776.26,9633.977,9507.016,10709.088,13619.039,14855.009,15099.515,13940.592,15528.811,17635.9,17581.684,17405.283,19536.268,20101.67,20423.307,22624.777,24782.318,28089.34,31814.082,37113.688,39016.184,40475.492,44114.461,44551.238,45109.75,52671.637,62135.371,73598.281,77512.617,84273.984,96818.648,111503.859,127425.031,136315.813,149043.656,133620.875,119622.492,136428.984,138733.438,135783.406,139670.172,155670.969,167700.75,170707.766,164185.844,168541.375,183662.672,204015.203,223958.109,237134.859,260221.391,270429.313,268372.125,285270.031,255791.406,241463.984,245195.438,260075.766,290907.406,313980.188,335075.375,341713.625,274613.563,306258.563
GO,ELECTRICAL AND OPTICAL EQUIPMENT,30t33,8574.882,8133.21,7705.491,9640.139,11534.298,12966.422,14990.303,13867.194,14505.355,16155.773,18715.646,21541.68,26704.625,27155.422,28956.689,32282.5,35908.266,37298.129,42812.77,50680.781,53053.516,56316.438,59854.66,59395.176,58606.43,65502.348,75075.172,83560.078,80056.945,92123.563,110722.086,128190.219,150129.734,173120.531,186599.094,200408.0,216143.219,255831.156,263819.156,262832.594,283900.313,309406.281,312619.563,320673.375,318612.313,346146.656,363729.594,404455.25,458148.156,490848.0,537593.938,541513.688,568794.375,623660.125,523643.063,451271.438,453029.375,472001.906,485281.25,507207.594,527881.563,517394.813,443139.031,490516.688
GO,TRANSPORT EQUIPMENT,34t35,16981.02,19166.65,23295.553,29752.527,29073.748,29502.27,36569.82,37307.109,44344.949,41328.156,46254.164,41211.75,49090.035,51506.781,47065.598,55288.465,58880.867,62778.039,73706.188,78222.094,75315.266,86736.539,89921.453,80652.406,95373.0,104546.453,121986.859,120119.609,125191.07,155973.969,184697.578,208714.078,221897.641,204810.453,225444.563,220036.391,266947.719,309689.594,331599.406,344072.844,365211.781,389021.156,401138.906,399309.344,394556.656,434967.844,450746.5,491493.438,504680.094,510848.094,565618.375,611512.5,665551.875,618781.188,589464.188,624833.625,643740.0,649806.563,681359.438,689228.625,755230.563,671045.063,561895.938,587975.063
GO,MANUFACTURING NEC; RECYCLING,36t37,4856.836,5431.743,5502.02,6369.621,6634.599,6828.681,7062.48,6872.357,7475.601,8008.39,7996.063,6640.053,7501.766,7845.645,8165.073,8469.844,9015.407,9480.936,10347.38,11099.744,11861.688,12810.13,13865.68,13858.71,14405.104,16941.033,18408.445,20375.432,21323.904,23934.75,27683.146,30405.709,33720.773,36998.281,40583.828,41954.504,42387.5,45463.789,45796.75,46743.617,54885.621,60236.277,62478.93,66287.461,67754.242,75237.375,80976.047,83515.547,87861.125,92809.375,99583.891,104900.211,108573.422,115037.656,113807.914,122619.656,128398.117,129776.289,142550.125,149815.281,149010.688,155555.922,146026.141,152572.156
GO,"ELECTRICITY, GAS AND WATER SUPPLY",E,6968.66,8164.235,8569.174,9609.076,10812.057,12039.41,13484.612,14656.181,16219.689,17825.07,19177.205,20401.338,21929.918,23369.662,24011.352,25372.381,26237.383,27734.129,29167.447,30167.92,33217.168,34876.59,35545.852,38888.398,42062.938,46120.035,50651.555,61619.313,75152.25,88199.031,104792.0,118621.406,140986.016,173658.281,205687.688,227990.563,238802.469,250045.344,248067.844,231830.063,229141.859,241231.328,248764.219,252759.781,258983.813,262079.797,275262.438,275864.969,280766.313,285839.906,289702.281,284201.938,326956.75,385020.781,459361.219,331325.75,341305.938,345833.406,402451.75,398687.406,420951.469,474826.219,380631.219,386700.75
GO,CONSTRUCTION,F,22433.082,29412.049,30145.973,37682.883,39941.598,41607.75,44282.906,46584.109,51395.398,54585.602,55743.625,56682.273,62428.855,61566.164,62954.605,66406.484,70584.352,76735.109,83609.734,87943.766,90192.773,101740.008,111255.695,114453.648,135701.375,156701.172,173231.438,174740.344,171827.219,193815.156,225908.391,270340.094,307475.719,308093.031,324702.125,314184.656,350949.0,416536.063,454142.469,488127.781,503053.281,520279.563,537481.125,536580.75,486646.5,521508.688,552267.875,606274.0,627171.938,692433.875,734583.75,822424.875,867097.813,935237.75,971103.625,967666.813,1026891.688,1110306.125,1242100.0,1323987.0,1313404.0,1256140.125,1086432.0,985746.813
