"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",388.6,13.8,0.2,0.3,0.8,820.5,5.7,90.1,24.1,2.2,6.3,3.5,4.6,3.4,0.5,4,0.7,2.6,8.5,0.4,2.2,100.7,11.4,4.5,41.4,296.4,43.8,0.7,5.2,7.1,0.3,20.5,3.4,2.2,18.2,11.3,10.8,23.1,14.2,11.6,25.2,13.7,17.1,12.8,0,935.7,4,127,105.4,41.6,5.3,22.9,509.3,-467.5
"TTL_A03",6.6,9.2,0,0.2,0.2,56.6,1.3,0.8,0.9,1.1,0.6,0.8,1.5,1.4,0.2,2,0.5,1.3,0.9,0.1,1.2,1.5,4.3,1,8.7,9.6,1.7,0.4,0.1,0.7,0,9.5,0.5,0.2,1.3,1.7,1.2,1.8,1.1,2.9,1.2,3.2,0.8,0.7,0,67.4,17.2,4.4,15.1,8.8,0.3,3.1,85.7,-6.5
"TTL_B05_06",0.2,0.7,1.8,13.8,39.6,44.1,0.1,0.1,0,448.3,1.1,0,0.1,0.1,2.6,0.1,0,0.2,0.1,0,0,0,191,0.7,2.3,1.4,1.6,1.2,0,15.1,0,1.2,0,0.1,0,0.1,11.1,49.2,1.6,0.5,0,0.3,0,0.5,0,2.8,3.1,0,1.4,6,0.1,0,0.4,-804.4
"TTL_B07_08",2.3,1.2,1.9,35,9.5,23.4,0.2,0.5,1.7,0.2,1,0.5,0.4,20.9,1.1,0.8,0,0.6,0.2,0,0.3,0.3,0.1,9.3,76,3.1,0.8,0.6,0,10.5,0,0.9,0,0,0,0,7.1,24.5,1,0.5,0,0.5,0.2,1.6,0,1.1,0,0,0.4,3.8,0.1,0,34.6,-46.4
"TTL_B09",0,0.4,0.2,0.1,12.2,17.9,0,0,0,110,0.7,0,0,0,0.9,0,0,0.1,0,0,0,0,38.6,0.2,6.5,2.9,4.3,0.5,0,8.4,0,0.4,0,0,0,0,5.6,20.2,0.8,0,0,0.1,0,0.3,0,0.1,0,0,0.4,0,0,0,8.6,-23.4
"TTL_C10T12",285.1,4.8,0,0.1,0.1,287.7,54.3,0.6,3.4,1,35.3,25.9,1.9,1.4,0.2,1,0.1,0.5,0.4,0,0.3,0.4,2.4,0.4,7.1,235.1,1.6,5.5,0.2,10.3,0,908.8,0.3,0.2,0.4,2.3,2.8,31,59.9,0.7,56.7,87.1,35.4,5.2,0,3241.9,5.9,1.3,1.8,69.8,15.8,51.1,737.7,-1428.4
"TTL_C13T15",11.5,0.1,0,0,0.1,3.5,123,0.4,1.5,0.3,0.8,0.8,4.2,11.6,0.4,1.5,0.1,1.7,1.2,0.4,1.5,5.7,0.8,36.5,5.1,29.8,13.3,1.7,3,15.2,0.8,9.5,0.2,19.1,1.4,12.8,31.7,26.9,21.7,214.5,13.9,44.9,21.9,8.9,0,495.5,15.6,0.4,14.6,32.2,7.7,17.9,352.9,-511.5
"TTL_C16",11.7,1,0.3,0.4,1.1,27.9,4,232,5.6,1.6,2.2,2.1,7,5.6,1,18.4,0.9,5.9,5.7,0.4,5.2,15.8,14.4,1.8,69.3,20.5,3.7,0.7,0.2,13.3,0.1,8.5,0.6,0.6,2.6,5.1,42.8,4.9,2.3,5.5,2.6,14.1,9.3,5.9,0,77.8,6.7,7.6,35.1,10.5,0.8,4.4,380.1,-163.6
"TTL_C17_18",19.8,1.6,0.1,1.1,0.5,103.9,13.1,19.1,259.3,2.2,26.1,21.8,11.9,17.4,0.9,13.8,1,7,6.9,0.4,7.9,6.5,13.1,3.6,15.7,61.6,8.9,1.7,0.2,9.1,2.8,77.5,40.8,6,10.1,30.6,7.5,43.1,11.5,22.7,17,25.7,29.6,41.3,0,318.7,7.4,6,24.8,19.1,2.1,8.3,136.6,-378
"TTL_C19",28.9,3.2,0.3,2.2,1.8,31.3,8.3,4.8,4.7,16.6,7.1,5.6,6.5,11.1,2.3,10.7,2,6.3,4.4,0.8,5.2,7,356.6,12.1,112.3,50.2,69.2,25.8,5.9,9.2,1.1,25.9,5.3,3.4,8.1,12.2,13.9,22.5,12.9,21.1,3.8,18.7,5.9,6.5,0,415.6,5.3,23.6,57.9,16.6,5.2,12.4,405.5,-475.1
