"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_C28",3.3,0.8,0.6,4.2,5.7,13.8,3.4,1.1,2,1.2,4.3,0.5,6.5,2.4,4.5,2,48.4,11.5,7.6,6.5,7.5,9.2,11.7,2.4,18.7,144.3,12.3,6.2,1.2,5.3,0.5,5.3,0.5,6.3,0.9,9.2,4.5,2.1,18.9,1.6,5.7,2.8,5.7,14.9,0,411.7,0.9,6.7,1496.7,-2.4,1.1,0.3,490.3,-1719.7
"TTL_C29",3.2,0.9,0.3,1.1,0.4,17.6,5.1,1.4,2.1,1.2,4.8,0.6,3,4.1,5,3.5,35.6,7.6,2.3,9,17,4.1,18.6,4,14.7,530.4,11.2,0.8,1.2,24.8,0.5,7.6,0.6,7.2,1.6,11.8,4.5,2.3,10.4,3.3,11.9,5.5,3.3,11.5,0,1430.4,0.9,21.1,1292,-6,10.5,7.7,757.2,-1293
"TTL_C30",1,0.3,0.2,0.5,0.1,6.1,1.5,0.5,0.7,0.4,1.6,0.3,1,1.5,1.4,0.7,14.2,3.1,0.6,2.3,87.8,1.7,7.5,1.6,7.4,289.5,4.7,0.7,24.1,16.4,0.2,3.1,0.2,3.1,0.6,4.6,4.1,2.2,4.6,1.2,7.7,2.3,2.6,5.5,0,794.4,0.1,2,948.1,-12.7,0.2,0.1,754.5,-943.9
"TTL_C31T33",8.4,4.5,4.2,11.5,1.4,48.1,18.6,14.2,15.2,2.4,13,1.2,3.9,16,12.2,12.7,66,18.5,2.6,5.6,12.4,81.7,9.1,4.3,40.8,206.6,45.8,7.6,16,48.2,0.8,26.2,6.3,11.9,4.8,35.6,19,6.3,34.3,3.7,18.9,7,60.4,25.8,0,919.9,0.9,12.5,237,-2.2,59.7,56.5,569.4,-328.5
"TTL_D",101.2,12.6,7.1,72.6,2.5,405.9,110.9,28.7,89.2,34.9,99.2,7.1,73.4,190.3,183.9,83.2,146.8,341.8,30.7,57.1,24,48.5,1589.1,74.1,74.3,953.7,143.6,5.3,20.4,41.7,3.3,298.9,45.2,118.1,32.3,203.2,70,102.4,251.5,75.3,170.7,166.4,37.6,203.8,0,3103.9,2.2,153.9,106.5,0,1.5,1.5,81.6,-13.3
"TTL_E",32,1.3,0.3,1.5,0.3,90.8,11.5,1.7,6.8,0.9,10.5,1.4,7.9,16.6,18.4,3.7,8.2,3.5,1.4,1.8,1.4,4.4,60.4,18.6,66.9,56.7,9.6,1.9,2.5,11.1,0.6,133,9,4,6.7,26.9,17.7,19.7,41.2,1.9,21.9,46.5,15.6,92.4,0,378.9,8.1,4,18.5,0,1.2,0.2,6.9,-5.6
"TTL_F",8.6,1.4,6.1,37.5,2.9,204.8,46.2,8.4,15.2,7.6,23.7,20.4,12.2,38,21.5,10.4,66.1,22.1,6.8,28.2,17.9,19.8,57,15.5,65.4,382.2,49.7,22.3,40,39.2,1.4,45.4,38,13.8,19.6,68.5,90.4,42.9,46.4,6.2,39.4,20.4,18.3,33.4,0,389.4,4.7,20.9,14477,-0.1,4.4,2.5,105.9,-28.8
"TTL_G",1632.4,251.3,21.7,73.3,5,5560.1,925.8,146.5,237.5,386.6,669.7,103.9,229,246.8,340,145.2,2423.9,420.4,97.5,437.6,259.9,281.8,303.7,44.3,939.2,3299.7,662.4,136.5,216.7,146.1,19.6,1544.2,112.6,217.8,92.9,504.9,204.3,123.9,333,149.3,173.4,209.7,245.4,315.2,0,18081,12.5,385.4,2728.8,1.1,213.9,185.7,8852.1,-6079.4
"TTL_H49",202.6,44.4,6.7,17.8,3.5,470.8,53.9,14,29.6,80.8,91,18,21.3,59.1,80.2,31,191.8,111.8,11.7,30.5,28.9,27.7,31.6,7.3,195.1,817.4,292.9,27.4,38.1,63.1,7.3,74.7,10,30.1,12.3,57.4,55.9,29.3,97.2,42.3,21.1,21.4,28.2,43.1,0,4081.1,2.3,147,228.4,9.9,288.4,181.3,902.7,-726.7
"TTL_H50",57.7,1.6,0.5,3,1.4,22.4,8.4,1.7,2.4,19.5,18.6,0.8,4.9,3.9,7.9,3.8,17.9,11.1,6.9,2.5,2.1,3.2,7.5,0.8,72.4,75,15,4.2,10.2,5.9,0.7,5.5,0.6,10.5,1.4,12.7,5.5,1.3,4.5,4.8,1.6,1.6,1.9,4.7,0,1679.5,0.2,7.4,52.3,264.3,77.8,44.1,1428.5,-2156.3
